attendance,gpa,internal,assignment,terminal,behaviour,performance
28,2.27,89,19,68,86,Average
81,1.9,67,56,66,46,Average
56,2.65,64,32,49,73,Poor
70,3.75,13,94,68,85,Good
63,2.93,33,30,11,68,Poor
43,0.86,43,22,85,35,Average
98,0.12,39,42,19,21,Poor
78,1.05,91,33,53,79,Average
51,2.38,28,20,20,73,Poor
71,0.21,40,26,88,49,Poor
81,1.99,69,77,89,57,Good
77,2.39,69,56,90,47,Average
71,1.34,28,34,99,44,Average
31,3.08,58,82,11,29,Poor
58,0.43,72,30,59,79,Poor
21,0.3,92,93,21,61,Average
22,2.91,31,92,99,59,Average
75,1.98,33,92,32,96,Average
78,2.75,85,21,27,61,Average
21,1.74,39,46,71,66,Poor
21,0.99,67,51,71,56,Average
73,3.28,40,26,47,99,Average
20,3.2,73,57,76,41,Average
38,2.78,28,37,47,76,Poor
21,1.09,57,50,76,46,Average
72,2.36,54,56,70,60,Average
63,1.44,64,27,10,99,Poor
51,0.37,64,87,54,53,Average
89,3.67,27,80,37,51,Average
51,0.55,72,22,30,85,Poor
87,3.8,56,91,22,31,Average
74,1.78,84,22,36,59,Average
94,0.74,66,40,16,92,Average
75,2.17,54,11,31,95,Average
36,3.49,42,25,83,92,Average
57,2.93,26,18,62,29,Poor
43,3.23,79,82,88,67,Good
88,2.64,13,47,88,39,Average
89,2.77,29,84,13,58,Average
30,3.4,56,63,32,79,Average
35,1.0,24,65,79,85,Average
92,1.96,79,95,97,84,Excellent
78,0.88,56,96,93,70,Good
89,3.95,87,54,93,55,Good
99,3.78,84,43,85,43,Good
22,0.16,18,18,42,46,Poor
39,2.82,99,97,37,21,Average
78,3.7,25,17,17,50,Poor
55,0.72,78,16,10,76,Poor
38,2.27,70,45,46,97,Average
86,3.66,19,27,72,85,Average
38,0.14,59,12,31,48,Poor
39,2.79,12,37,79,34,Poor
90,1.19,86,79,30,31,Average
71,3.7,79,53,44,47,Average
52,3.88,90,30,88,43,Average
59,3.78,60,37,14,40,Poor
58,1.9,28,63,69,29,Poor
20,3.45,51,63,55,97,Average
30,3.38,44,74,59,37,Average
76,1.28,55,30,57,33,Average
69,3.32,35,22,15,53,Poor
42,0.15,78,66,98,77,Average
50,2.39,73,58,65,95,Average
61,0.92,46,63,68,41,Average
26,0.48,93,19,38,89,Poor
35,0.31,58,62,80,55,Average
79,2.79,30,53,86,64,Average
21,1.36,83,56,27,55,Poor
20,2.9,73,62,11,41,Poor
67,0.26,14,83,17,97,Poor
31,1.26,79,55,84,99,Average
88,2.16,99,22,63,80,Average
56,3.16,13,46,47,75,Poor
51,1.28,48,33,57,52,Poor
28,2.5,44,11,36,64,Poor
38,3.54,10,95,29,55,Poor
67,2.46,33,90,21,39,Average
99,0.93,66,23,52,37,Average
22,0.1,79,19,70,57,Poor
39,3.48,50,44,40,86,Average
43,0.09,63,34,70,42,Poor
73,3.5,55,12,83,35,Average
52,2.12,69,26,76,78,Average
43,3.76,69,21,44,88,Average
94,3.2,66,63,24,87,Average
91,3.99,40,33,25,40,Average
55,1.4,93,38,22,97,Average
57,3.07,33,52,44,97,Average
44,1.61,98,34,84,89,Average
37,1.92,45,69,68,31,Average
85,2.51,94,99,30,35,Good
73,3.49,39,74,63,33,Average
54,3.94,33,93,84,80,Good
99,3.07,39,37,39,90,Average
80,1.67,95,25,57,65,Average
60,1.69,16,56,44,51,Poor
52,2.95,44,90,95,34,Average
87,0.96,64,67,47,63,Average
52,0.44,23,85,40,36,Poor
33,1.42,19,36,87,60,Poor
40,1.15,89,62,33,73,Average
67,1.19,25,51,58,63,Poor
39,0.93,63,68,41,24,Poor
27,0.17,98,56,64,46,Average
26,0.07,86,43,88,97,Average
86,3.95,79,46,67,98,Good
36,1.71,53,15,12,62,Poor
52,1.54,82,16,89,50,Average
67,2.72,54,34,78,36,Average
95,0.87,65,42,94,73,Average
78,3.8,93,64,19,81,Average
41,3.15,91,67,92,51,Good
49,0.36,66,16,34,59,Poor
57,1.67,30,66,77,32,Average
70,3.52,77,21,70,54,Average
73,3.78,59,25,38,24,Poor
27,1.87,42,89,28,92,Average
46,2.45,16,52,52,48,Poor
46,0.67,79,86,75,89,Good
40,3.96,24,16,83,44,Poor
49,0.93,91,60,70,41,Average
47,3.77,41,82,52,85,Average
83,2.6,84,41,34,64,Average
88,2.43,29,84,29,88,Average
80,2.05,97,17,57,91,Average
67,0.92,24,96,92,20,Average
38,0.71,57,98,96,63,Average
23,0.88,80,81,33,94,Average
54,0.75,30,54,20,58,Poor
83,3.12,51,95,64,73,Good
68,1.4,35,68,37,94,Average
36,0.23,23,13,78,48,Poor
63,3.88,66,76,72,73,Good
49,3.54,46,38,68,35,Average
65,3.71,67,38,14,39,Average
25,3.98,30,37,60,65,Poor
56,0.7,91,86,30,86,Average
43,1.58,78,88,21,84,Average
65,3.03,12,96,59,77,Average
72,2.78,96,53,13,72,Average
79,0.62,99,99,51,20,Average
82,3.26,46,13,93,85,Average
51,0.9,97,99,47,48,Average
52,0.9,58,18,34,89,Poor
86,2.15,28,14,23,27,Poor
37,2.37,98,65,84,48,Average
44,2.32,94,93,41,70,Good
73,0.37,21,59,20,52,Poor
77,3.51,70,84,70,22,Average
86,1.06,50,24,27,79,Average
65,0.52,42,41,36,54,Poor
43,3.55,59,37,64,88,Average
51,3.82,77,31,63,95,Average
66,3.45,80,26,91,39,Average
42,3.24,95,68,96,92,Good
85,2.62,42,99,84,58,Good
46,2.2,90,80,30,23,Average
21,0.35,33,66,53,38,Poor
36,1.63,70,35,14,64,Poor
52,1.49,70,34,96,62,Average
28,1.04,37,19,50,32,Poor
62,2.89,67,54,68,32,Average
67,1.98,52,92,98,79,Good
58,0.32,50,20,63,76,Average
61,0.88,48,86,83,71,Average
45,2.73,95,62,31,72,Average
69,0.3,58,81,92,62,Average
44,3.4,26,77,74,91,Average
43,1.98,79,37,73,91,Average
32,1.92,79,84,80,61,Average
79,2.37,74,74,13,45,Average
26,3.3,83,58,74,42,Average
76,1.39,94,56,24,62,Average
55,2.71,14,61,85,96,Average
64,2.26,11,97,31,47,Average
39,1.07,31,63,95,28,Poor
84,3.51,66,69,56,39,Good
27,3.19,75,66,90,75,Average
35,2.63,83,56,55,58,Average
33,3.4,25,40,23,70,Poor
95,3.47,60,55,59,31,Average
34,2.83,48,35,29,98,Poor
85,3.35,95,14,59,74,Average
51,2.79,85,93,42,97,Average
82,2.72,97,61,68,30,Good
70,2.47,49,84,52,45,Average
44,3.01,47,63,88,61,Average
77,0.63,69,42,21,46,Poor
82,3.52,68,59,49,30,Average
81,3.49,19,47,29,57,Poor
41,0.12,73,36,47,62,Poor
77,3.3,72,24,12,38,Average
77,0.52,58,70,37,83,Average
68,1.34,73,30,65,25,Average
71,2.97,41,55,99,65,Average
61,0.64,16,78,22,61,Poor
89,3.27,30,15,86,84,Average
34,3.33,29,47,75,91,Average
73,2.03,35,71,46,78,Average
79,0.03,77,95,58,71,Good
27,1.15,95,71,75,66,Average
72,2.47,24,91,45,26,Average
79,3.92,94,87,63,30,Good
24,2.53,88,83,35,80,Average
87,1.04,95,55,84,87,Good
25,2.54,23,22,81,44,Poor
66,2.16,36,12,49,31,Poor
74,3.12,49,15,52,45,Average
59,0.43,67,17,31,31,Poor
71,3.04,37,53,29,62,Average
35,2.17,35,42,17,70,Poor
32,3.85,72,90,38,56,Average
49,1.37,75,84,49,65,Average
38,2.53,34,86,99,72,Average
36,3.73,12,59,39,99,Poor
82,0.41,81,20,90,32,Average
38,3.75,53,37,93,73,Average
77,2.75,51,79,64,76,Average
74,0.27,15,50,25,23,Poor
81,1.2,48,25,55,94,Average
42,2.83,61,77,71,68,Average
28,0.27,32,57,16,26,Poor
31,2.33,98,65,89,30,Average
20,1.38,59,73,54,73,Average
77,2.48,52,68,68,64,Average
20,0.18,28,99,65,42,Average
53,3.49,78,71,57,47,Average
67,3.89,60,85,36,76,Average
20,3.88,20,20,62,45,Poor
35,3.0,21,98,96,44,Average
80,0.52,83,27,97,73,Average
83,3.03,17,28,82,48,Average
82,0.1,33,96,44,55,Average
88,0.09,50,64,60,33,Average
41,1.29,45,91,93,97,Average
86,1.95,94,35,46,54,Average
95,3.08,81,15,90,49,Good
45,2.73,64,13,66,36,Poor
35,1.78,18,38,17,86,Poor
70,1.09,56,68,88,99,Average
76,3.99,24,26,29,49,Poor
48,1.7,57,52,62,64,Average
97,1.81,91,89,21,98,Good
88,0.65,51,75,58,70,Average
66,3.18,69,43,26,66,Average
81,2.77,93,17,73,72,Good
88,0.88,79,22,51,83,Average
95,0.33,21,17,38,57,Poor
35,2.72,11,74,28,83,Poor
67,2.62,16,52,20,26,Poor
58,1.09,89,48,59,41,Average
52,3.8,12,90,80,60,Average
42,0.6,12,68,67,93,Average
29,1.73,36,93,43,29,Poor
88,3.77,49,97,29,76,Average
53,1.68,42,95,59,26,Average
71,2.55,10,95,97,69,Good
29,1.59,17,53,19,71,Poor
38,1.1,41,18,41,52,Poor
77,3.94,57,46,61,20,Average
20,1.64,13,83,24,72,Poor
88,3.58,79,45,93,79,Good
23,0.92,28,37,12,53,Poor
35,0.85,41,51,46,23,Poor
43,0.12,18,52,49,36,Poor
99,2.61,21,94,81,23,Average
21,1.47,20,97,49,62,Poor
51,3.46,55,51,65,23,Average
43,1.89,25,75,32,20,Poor
31,3.87,10,64,20,90,Poor
69,0.74,72,81,73,69,Good
54,3.47,30,57,17,92,Poor
52,3.11,39,31,65,80,Average
52,3.08,22,36,69,54,Poor
80,3.38,43,76,19,27,Average
70,3.04,13,22,48,43,Poor
62,2.5,37,54,37,55,Poor
31,0.52,68,19,58,69,Poor
86,0.13,36,18,45,62,Poor
84,3.68,78,63,22,46,Average
52,2.47,34,36,45,51,Poor
59,3.19,12,43,35,97,Poor
93,1.93,77,10,95,37,Average
62,0.47,34,41,13,47,Poor
63,0.5,29,98,91,48,Average
48,2.74,43,80,73,35,Average
32,1.72,35,76,47,66,Poor
31,0.8,14,93,97,78,Average
65,1.97,70,29,96,50,Average
21,0.26,18,44,31,23,Poor
54,2.33,59,99,11,56,Average
27,1.08,15,87,40,36,Poor
45,3.19,92,26,20,58,Average
93,1.24,69,27,55,67,Average
53,1.82,53,54,71,65,Average
26,0.05,20,93,78,67,Poor
87,0.29,75,62,73,58,Good
77,1.57,56,91,19,23,Average
94,1.92,82,77,49,49,Good
48,2.4,94,74,33,49,Average
55,1.17,97,10,53,41,Poor
40,2.78,95,67,69,94,Good
55,3.44,12,35,71,85,Average
29,3.12,85,29,96,31,Average
92,0.16,39,96,26,55,Average
43,1.92,99,19,74,37,Average
83,0.42,30,68,66,72,Average
68,0.97,37,84,64,90,Average
55,3.95,99,50,62,20,Average
43,0.57,71,14,65,77,Average
42,2.0,42,74,18,25,Poor
81,2.47,94,26,31,89,Average
56,2.81,44,31,22,63,Poor
31,2.24,61,50,98,91,Average
74,0.04,43,77,57,43,Average
32,1.31,50,78,27,38,Poor
42,2.07,60,20,85,37,Average
49,0.35,56,65,49,49,Poor
36,1.4,91,60,26,61,Poor
81,0.13,67,30,24,52,Poor
32,0.31,84,85,24,93,Average
78,1.59,66,35,88,31,Average
38,0.53,32,28,72,46,Poor
68,2.27,57,69,48,58,Average
31,2.76,31,80,22,28,Poor
80,3.2,26,56,90,40,Average
38,0.8,78,80,41,95,Average
95,0.67,20,35,18,48,Poor
28,0.42,24,49,49,52,Poor
90,2.55,44,14,29,81,Average
47,2.83,42,30,99,34,Average
97,0.13,93,87,94,21,Good
71,3.74,25,13,91,71,Average
35,0.21,43,32,86,63,Poor
88,2.17,75,93,89,73,Good
31,2.84,49,24,82,37,Poor
44,3.48,37,17,72,22,Poor
71,2.86,56,50,85,26,Average
72,3.21,48,28,53,62,Average
42,1.36,79,55,47,57,Average
35,3.26,82,37,92,56,Average
76,0.32,29,77,69,77,Average
58,3.58,10,24,80,52,Poor
72,2.19,81,46,57,78,Average
61,3.27,96,10,27,30,Average
77,1.81,72,76,25,87,Average
58,2.57,76,33,64,87,Average
33,2.11,13,36,48,41,Poor
24,2.93,67,49,77,85,Average
54,0.33,34,72,68,63,Average
94,0.24,56,70,98,25,Average
37,0.99,47,45,71,61,Poor
95,0.64,24,33,22,44,Poor
28,3.49,72,33,90,76,Average
93,0.88,30,13,15,74,Poor
77,3.9,66,76,92,35,Good
36,1.35,62,43,86,33,Average
26,0.73,55,66,69,58,Poor
65,3.16,23,58,99,47,Average
32,2.63,85,96,23,70,Average
59,1.99,26,62,63,68,Average
61,2.22,48,32,13,28,Poor
28,2.88,18,78,48,77,Poor
69,0.91,86,62,81,64,Good
46,3.99,88,71,34,41,Average
85,3.9,91,50,86,51,Good
24,2.6,15,66,41,88,Poor
48,0.8,32,69,68,88,Poor
56,2.72,68,63,72,61,Average
57,0.29,55,79,47,72,Average
27,0.12,47,66,62,78,Average
84,1.03,23,19,76,93,Average
36,1.85,81,49,37,58,Average
90,3.47,71,16,12,34,Average
64,2.91,44,47,89,90,Average
23,2.97,28,94,31,48,Average
55,1.7,39,70,47,22,Poor
89,1.38,87,93,81,29,Good
50,1.48,93,12,81,48,Average
38,3.95,34,60,71,98,Average
80,0.16,49,95,66,54,Average
73,3.47,97,56,15,25,Average
58,2.31,23,77,87,31,Average
93,1.75,35,85,41,57,Average
38,2.9,96,47,19,96,Average
58,1.95,31,45,12,38,Poor
86,3.49,57,50,68,86,Good
64,3.6,92,78,85,27,Good
32,1.69,60,22,58,27,Poor
77,1.11,12,96,68,66,Average
39,2.37,51,67,40,23,Poor
91,3.65,28,59,78,70,Average
80,0.84,82,39,71,86,Average
58,2.49,37,71,61,64,Average
20,2.53,93,34,98,27,Average
22,2.93,54,36,50,35,Poor
96,0.53,80,60,40,96,Average
81,2.86,87,87,94,86,Excellent
82,3.64,72,66,93,28,Average
44,0.72,82,56,31,79,Average
75,0.95,28,48,13,97,Poor
52,3.89,56,25,22,96,Average
57,0.72,23,31,54,90,Poor
25,3.42,47,94,51,34,Average
77,1.97,62,63,58,90,Average
63,0.99,70,30,29,60,Poor
64,3.48,45,81,86,41,Average
51,1.78,49,25,90,43,Average
64,2.06,90,68,63,63,Good
80,1.44,39,40,45,20,Poor
66,2.37,18,51,10,29,Poor
40,0.65,73,83,24,99,Average
99,1.56,42,41,86,91,Average
94,3.88,61,68,26,75,Average
55,1.03,98,43,33,69,Average
38,2.63,23,18,67,31,Poor
39,1.3,84,90,81,79,Average
76,3.09,62,20,32,45,Poor
37,0.52,68,19,55,97,Poor
66,3.88,87,95,81,60,Good
68,1.82,50,26,17,55,Poor
33,0.94,77,77,68,42,Average
34,0.29,77,57,99,62,Average
50,0.68,17,61,68,25,Poor
20,2.08,11,34,22,88,Poor
73,1.35,95,30,48,62,Average
22,3.32,50,74,37,44,Poor
35,1.72,64,72,98,37,Average
76,0.99,25,98,70,81,Average
94,2.47,71,60,25,32,Average
31,2.83,57,45,11,62,Poor
93,0.67,39,90,91,97,Good
35,0.67,21,97,26,47,Poor
91,0.15,44,75,39,37,Poor
95,2.95,20,24,22,78,Average
43,2.66,73,48,91,79,Average
47,1.9,59,79,22,82,Average
27,3.38,94,10,52,76,Poor
55,3.22,30,32,94,70,Average
27,2.34,78,48,30,75,Average
77,3.47,57,66,64,46,Average
79,0.82,29,90,90,51,Average
69,0.45,76,43,49,28,Average
47,1.08,53,50,92,87,Average
60,0.23,42,82,24,65,Poor
83,2.12,82,22,82,86,Average
46,3.75,70,79,61,45,Average
82,0.16,18,15,83,27,Poor
36,0.49,77,93,62,25,Average
92,1.81,44,61,96,99,Good
52,3.74,90,12,61,43,Average
96,1.26,97,90,39,67,Good
48,2.03,74,72,42,64,Average
32,0.17,17,58,66,32,Poor
65,0.59,54,85,61,88,Average
54,3.95,96,56,18,44,Average
25,3.86,56,64,63,39,Average
88,0.02,49,73,10,85,Average
66,3.81,85,74,53,93,Good
44,2.56,63,90,84,64,Average
85,3.47,85,76,89,66,Good
29,1.82,55,99,18,82,Average
75,2.06,56,24,41,95,Average
49,1.96,24,41,24,96,Poor
24,2.67,28,77,21,74,Poor
52,0.56,35,27,87,94,Average
84,0.12,61,92,66,38,Average
37,1.23,31,52,17,54,Poor
68,2.82,30,44,81,72,Average
30,0.81,60,87,36,45,Poor
45,2.69,47,67,71,33,Average
82,3.88,29,42,21,64,Average
78,0.38,38,23,74,63,Average
46,2.69,60,43,51,84,Average
68,1.78,13,70,71,70,Average
96,3.47,64,13,20,62,Average
52,0.71,80,97,52,42,Average
20,2.77,37,68,26,75,Poor
40,3.35,13,38,41,38,Poor
74,3.78,31,92,94,95,Good
25,2.73,85,15,94,74,Average
88,1.99,54,58,49,79,Average
24,2.47,76,49,32,78,Poor
22,3.48,95,92,65,52,Average
72,2.28,75,74,15,38,Average
42,0.12,97,78,95,47,Average
72,3.72,43,36,59,71,Average
56,2.76,64,89,46,68,Average
93,2.71,10,15,73,56,Average
93,0.86,81,22,63,45,Average
36,2.64,96,73,81,59,Average
97,1.58,47,71,58,99,Average
92,2.6,15,28,20,57,Poor
20,0.43,95,85,97,96,Average
70,2.63,34,89,58,73,Average
64,4.0,91,52,30,41,Average
96,0.19,26,83,75,35,Average
23,3.91,70,98,72,47,Average
81,1.63,21,29,92,54,Average
84,3.48,15,77,37,79,Average
51,3.13,99,53,26,64,Average
53,2.27,36,32,15,65,Poor
91,2.95,17,11,28,91,Poor
58,3.51,92,31,65,74,Average
45,1.62,74,66,37,45,Average
53,1.31,66,81,75,44,Average
73,2.67,49,16,47,84,Poor
22,3.23,23,87,46,25,Poor
69,3.05,44,65,77,42,Average
31,3.19,57,76,95,83,Average
84,1.74,93,25,99,62,Good
73,3.27,65,92,58,42,Good
24,0.48,58,60,52,49,Poor
76,2.18,22,91,45,96,Average
36,0.02,70,89,67,37,Average
66,1.3,58,81,22,98,Average
42,1.47,55,21,61,40,Poor
98,1.58,71,62,67,76,Good
33,2.78,17,84,41,42,Poor
85,1.55,52,14,90,64,Average
94,1.79,29,36,69,63,Average
70,0.95,99,21,92,66,Average
57,1.49,48,26,67,59,Average
83,0.91,94,15,65,70,Average
57,0.29,58,14,37,61,Poor
69,2.41,73,66,10,26,Average
49,2.67,71,37,51,69,Average
98,2.48,63,87,91,67,Good
70,1.85,18,78,57,25,Average
82,1.52,97,68,49,28,Good
71,3.45,46,42,72,76,Average
57,2.08,58,71,85,50,Average
98,1.92,50,59,81,40,Average
49,0.1,26,28,97,59,Poor
70,1.36,97,95,89,64,Excellent
24,1.52,30,78,13,96,Poor
48,1.6,60,75,47,68,Average
23,2.32,68,56,36,39,Poor
29,2.13,48,48,18,36,Poor
75,2.43,64,77,25,47,Average
36,3.06,50,42,65,60,Average
93,3.25,48,22,85,85,Good
36,2.87,22,93,40,44,Average
88,3.82,73,63,97,77,Excellent
53,0.07,20,16,23,60,Poor
25,0.78,28,88,34,25,Poor
72,0.03,20,96,43,94,Average
85,2.59,86,23,76,57,Average
96,3.59,55,96,33,25,Average
62,0.97,54,28,82,64,Average
94,3.71,10,63,35,94,Average
42,0.24,49,29,29,33,Poor
74,3.74,28,38,73,85,Average
99,1.41,85,33,19,59,Average
94,0.41,81,91,92,22,Good
35,1.94,81,72,76,43,Average
27,1.03,70,83,33,38,Poor
23,1.14,21,66,14,37,Poor
23,1.23,70,17,76,83,Poor
75,3.21,42,99,67,54,Good
44,2.16,54,71,36,81,Average
86,1.25,99,38,89,20,Average
86,2.44,78,83,24,44,Average
46,2.86,17,26,44,64,Poor
51,1.09,34,75,85,68,Average
69,1.65,55,15,62,35,Poor
80,0.49,96,67,53,38,Average
70,0.72,39,78,35,42,Poor
38,2.72,56,37,56,44,Average
40,0.73,96,71,43,35,Average
24,2.1,58,50,96,73,Average
61,2.84,56,78,59,92,Average
80,0.43,93,91,93,20,Average
41,2.27,91,99,21,61,Average
40,1.03,27,93,96,38,Average
89,3.85,75,50,13,53,Average
20,1.93,77,58,96,99,Average
24,3.22,42,58,57,74,Poor
31,2.2,45,85,64,37,Average
65,0.17,91,80,10,53,Average
53,2.53,28,12,98,64,Average
68,3.81,37,19,75,25,Average
97,2.41,49,98,39,40,Average
64,3.28,93,44,12,89,Average
46,3.54,85,89,30,67,Average
92,0.91,24,11,98,58,Average
45,0.85,50,33,93,50,Average
66,2.44,48,83,58,29,Average
75,1.64,11,47,95,49,Average
82,3.36,72,31,94,37,Average
67,3.6,38,35,71,79,Average
80,1.41,83,52,47,92,Average
45,0.95,75,64,24,34,Poor
55,3.12,60,48,61,23,Average
20,1.1,84,38,88,82,Average
27,3.29,86,29,55,59,Average
71,1.69,19,50,34,28,Poor
98,2.67,23,63,30,28,Average
66,0.38,91,29,97,45,Average
75,2.5,60,28,14,23,Poor
33,1.81,82,93,79,35,Average
47,2.35,48,75,56,34,Average
97,0.67,37,39,96,71,Average
21,2.95,12,62,77,88,Average
45,3.45,93,43,27,24,Poor
33,0.87,79,31,30,39,Poor
78,0.38,36,76,95,98,Good
75,0.09,11,15,32,37,Poor
26,2.57,47,88,73,21,Average
22,2.43,12,36,76,32,Poor
42,2.19,25,19,49,23,Poor
37,0.93,49,82,19,61,Poor
57,1.56,11,57,98,93,Average
34,2.38,90,79,61,80,Average
83,1.99,50,68,81,27,Average
47,3.95,21,68,84,86,Good
93,0.55,44,11,70,82,Average
58,2.78,74,38,73,28,Average
76,1.62,64,77,14,30,Poor
36,1.71,54,74,62,61,Poor
63,2.87,88,92,64,32,Good
44,2.77,99,35,46,55,Average
36,3.97,94,98,65,32,Average
32,0.51,71,19,68,31,Poor
44,0.42,58,62,78,56,Average
87,2.9,34,88,82,93,Good
29,2.31,32,68,68,92,Average
86,1.1,33,31,11,71,Poor
37,0.32,47,60,74,90,Average
53,0.34,37,57,69,21,Poor
27,3.58,30,30,60,75,Poor
59,0.77,63,31,39,79,Poor
61,1.29,27,39,20,42,Poor
60,0.91,45,34,85,59,Poor
25,1.42,54,37,48,83,Poor
71,0.28,82,74,99,42,Average
45,2.08,62,54,86,48,Average
83,0.27,39,77,81,97,Average
78,3.2,69,16,72,70,Average
75,0.93,41,58,73,88,Average
78,2.16,76,18,70,50,Average
89,3.52,76,45,63,69,Average
52,2.6,37,92,82,39,Average
72,2.13,53,10,67,74,Average
41,1.3,88,19,94,21,Average
